"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"RPLP2P4",-0.244740753880167,-9.85960586011342,-2.45869765690007,0.0142651001505487,0.0274598260984765,-4.81795466032801,FALSE
"CAMK2G",-0.187619514658788,2.46086559546314,-2.45821620761768,0.0142840167709916,0.0274947819504622,-4.81912520874184,FALSE
"BRSK1",0.386198925843805,-1.40039054820416,2.45815289450847,0.0142865060563003,0.0274981153950031,-4.81927912533909,FALSE
"LINC02720",-0.0900763636362747,-9.94053005671078,-2.4573252613544,0.0143190814748752,0.0275593540437646,-4.82129077695594,FALSE
"CEACAM21",0.421544705592509,-0.906666162570889,2.45663315654397,0.0143463729646938,0.0276104169754719,-4.82297250403436,FALSE
"NBPF6",0.584020044346001,-8.86252911153119,2.45647747725195,0.0143525181386456,0.0276207793538129,-4.82335072122626,FALSE
"LINC02014",0.607390002463724,-8.87592287334594,2.45608346477673,0.0143680815125994,0.0276492645774423,-4.82430785557308,FALSE
"OR3A3",-0.404288041389414,-9.52072268431002,-2.45603928315274,0.0143698276038779,0.0276511588575866,-4.82441517213309,FALSE
"PTGR3",-0.226288435575268,2.51751512287335,-2.45575805328691,0.014380946421813,0.0276710874620075,-4.82509823140202,FALSE
"CDH12",0.924988763242243,-7.80613232514178,2.45563891856431,0.0143856588746415,0.0276786878045455,-4.82538756622714,FALSE
"DENND3-AS1",0.900067674304018,-2.88750982986767,2.45561852067138,0.014386465863736,0.0276787734428386,-4.82543710389999,FALSE
"LAD1",0.581416196107407,3.63648941398866,2.45510415266507,0.0144068287237022,0.0277150126920569,-4.82668614872031,FALSE
"RPL7L1P16",0.723364740083799,-8.17353364839319,2.4551130977756,0.0144064743859433,0.0277150126920569,-4.82666442940651,FALSE
"FUT9",-0.315227649667291,-9.68560037807183,-2.45500924894111,0.0144105885676367,0.0277207766198812,-4.82691657641005,FALSE
"VN1R71P",0.285017886178963,-9.76698790170132,2.45483431731656,0.0144175211874607,0.0277326428903142,-4.82734129025138,FALSE
"OR2C3",0.400299122936769,-9.43337542533081,2.45455505486729,0.0144285945986425,0.0277510020411848,-4.82801924602261,FALSE
"GCSAML-AS1",0.400299122936769,-9.43337542533081,2.45455505486729,0.0144285945986425,0.0277510020411848,-4.82801924602261,FALSE
"ADORA3",0.446892946538557,-0.819132325141777,2.45443415358246,0.0144333909509024,0.027758756286554,-4.82831273050091,FALSE
"FHIP1A-DT",0.737083247105257,-8.73452192816635,2.45436115108621,0.0144362877624025,0.0277628566466928,-4.82848993517226,FALSE
"CABP5",-0.390420243902355,-9.45858884688091,-2.45396471634257,0.0144520276660313,0.0277916541984745,-4.82945214230418,FALSE
