gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
POU2F2,-0.97456135501355,6.30615689981096,-5.54914371391177,4.5499217810028e-08,1.55577970576225e-07,7.20064977040261,NS
APOB,-1.13127371273713,17.3515482041588,-5.30732465049473,1.64100246851475e-07,5.5221035448433e-07,5.95742989000756,Down
FAS,-0.89166542005419,8.90364839319471,-5.27620664377342,1.92880755701538e-07,6.38917503261344e-07,5.80105543148877,NS
MAP3K5,-1.12651414634146,9.01799054820416,-5.26924585099455,1.99958579595355e-07,6.5217259806485e-07,5.76618919337527,Down
CALML3,-1.63479779945799,3.17517088846881,-5.19325891941795,2.95573995115986e-07,9.49419499463469e-07,5.38827246516747,Down
NFKBIA,-0.55050731707315,12.3301663516068,-5.16742386043741,3.37175891280157e-07,1.06688490972229e-06,5.26099819678626,NS
PPP3CA,-0.405996422764218,9.70385822306238,-5.1633460074097,3.44245808120376e-07,1.07323693119882e-06,5.24094747329345,NS
CYBB,-1.14288926829269,8.70102079395085,-5.11131594188634,4.48098180018154e-07,1.37676542266447e-06,4.9862905549327,Down
RAC1,0.333261246612461,13.0903213610586,5.09882660427079,4.77157469256796e-07,1.44510547832058e-06,4.92561265956083,NS
PIK3R1,-0.753078590785899,11.8605973534972,-5.05998706773993,5.79876680932965e-07,1.73146276560266e-06,4.73743934053428,NS
MAPK9,0.356946287262899,10.3729224952741,5.04007591794009,6.40429653291815e-07,1.87753500288087e-06,4.64159831545524,NS
NRAS,0.42846807588076,10.8556956521739,5.03818005290692,6.46509694388225e-07,1.87753500288087e-06,4.6324830175892,NS
MMP1,1.74341100271003,3.98242192816635,4.97992619111526,8.63117427982501e-07,2.4727147936796e-06,4.35384405138143,Up
IKBKE,1.01391685636857,7.37265217391304,4.97029509773603,9.05092363389009e-07,2.55839441384627e-06,4.30807357707842,Up
CASP3,0.424994850948526,9.98628922495274,4.95883619128727,9.57521314552832e-07,2.67098050901579e-06,4.25379508387313,NS
NLRP3,-1.01038596205962,5.36378449905482,-4.95313158454096,9.84830843804229e-07,2.71148232320125e-06,4.22670630111222,Down
TRAF6,-0.37104211382114,8.3239168241966,-4.93764656734181,1.06246762181714e-06,2.88773251057991e-06,4.15358839825891,NS
CASP8,0.441721734417358,9.51799054820416,4.80698587136798,2.00087268792263e-06,5.36943050429872e-06,3.54434927740122,NS
APOA4,-2.77922731707317,8.77720302457467,-4.78235685971901,2.25098695463521e-06,5.96511542978331e-06,3.43112186658899,Down
PLCB2,-0.748736151761506,8.40419092627599,-4.72987064062479,2.88784173785068e-06,7.55830183239932e-06,3.19174284721472,NS
HSPA5,0.557897018970181,15.0652741020794,4.6871001691847,3.53164736345889e-06,9.13060050064981e-06,2.99851047170699,NS
MMP9,1.52044937669378,7.77217202268431,4.67414404847027,3.7527436523069e-06,9.58532113601279e-06,2.94024217626281,Up
TNFRSF10B,-0.48648780487803,11.2782438563327,-4.66982711741463,3.82899771108399e-06,9.66366088987864e-06,2.92093119713688,NS
HSP90AA1,0.485351761517615,14.8169943289225,4.66656409338873,3.88782509390632e-06,9.69669317538987e-06,2.90630205130247,NS
NFATC3,-0.476489430894299,10.0494196597354,-4.64731811819553,4.252876077186e-06,1.04838340507376e-05,2.82020795865832,NS
SRC,0.867662547425478,9.66358412098299,4.50955734929629,8.01148641832099e-06,1.95222427664833e-05,2.21349654577962,NS
PIK3CD,-0.759445474254742,8.03392438563327,-4.46875025850719,9.63447640105702e-06,2.32103295116374e-05,2.03703706563672,NS
MAPK10,-1.02977306233063,5.32898865784499,-4.37531736458098,1.46197074655596e-05,3.4824471715715e-05,1.63861740346753,Down
MAPK8,-0.296262276422739,10.0434328922495,-4.34608555351147,1.6630811821538e-05,3.89481344936755e-05,1.51561593312075,NS
NOX1,0.996264704607047,1.55434933837429,4.34490450283886,1.67183030137947e-05,3.89481344936755e-05,1.51061802379499,NS
NFKB1,-0.410552791327895,10.3975652173913,-4.13792635466202,4.07824517981002e-05,9.39769541434483e-05,0.661679999463827,NS
CALM3,0.337039566395672,12.9920982986767,4.07666537208281,5.27274505054465e-05,0.000120195908679082,0.417840812740803,NS
LBP,-1.16370379403794,14.4150807183365,-4.029844502265,6.40283040578846e-05,0.000144404260215655,0.23374953735442,Down
RAP1A,-0.256525745257465,11.0895293005671,-3.98896378704866,7.57359885019486e-05,0.000169010837499085,0.0747073157611746,NS
PPP3CC,-0.310073116531168,8.62204536862004,-3.93535915265122,9.41895579595224e-05,0.000208001940493945,-0.131562107486636,NS
NFATC2,-0.639422872628726,8.79842722117202,-3.93159828703032,9.56361576950483e-05,0.000209019231251033,-0.145963167315308,NS
GSK3B,0.247221138211403,10.6629470699433,3.83476952192879,0.000140860632775337,0.000304718919881342,-0.511519596428346,NS
CYCS,0.400689972899734,12.2231947069943,3.82098856822077,0.000148743726864552,0.000318521920154395,-0.562850230828247,NS
NCF1,-0.724027642276425,6.88276748582231,-3.71170370366329,0.000227746708217085,0.00048282302142022,-0.963731668751281,NS
MAP2K7,0.215302059620624,10.6153572778828,3.6817154913876,0.000255514066851994,0.000536326556164581,-1.07177773874768,NS
MAP3K7,0.293883252032538,10.0058998109641,3.67607375031569,0.000261083104369722,0.00054264331496452,-1.09201574463502,NS
PDPK1,0.435148509485108,10.5649584120983,3.66930071943525,0.000267921919792088,0.000549153671499782,-1.11627939110143,NS
NFATC1,-0.621611056910566,7.68176559546314,-3.66786662982863,0.000269396140735742,0.000549153671499782,-1.12142451437169,NS
IL12A,0.780451002710027,2.64911228733459,3.6579186953668,0.000279796450987359,0.000564922358184001,-1.15696192681521,NS
TNF,-0.813671544715449,3.46327580340265,-3.61365408814146,0.000330817040906106,0.000661634081812212,-1.31397739586915,NS
CCL5,-0.78141539295393,8.94010586011342,-3.5288378984725,0.000453839441141922,0.000899195902075583,-1.60975094910289,NS
HSP90B1,0.360018970189719,15.4775236294896,3.50265875156715,0.000499716645092013,0.000980925266291729,-1.69967365916964,NS
SOD2,-0.622236314363123,14.9843100189036,-3.49076343098296,0.000521982358191636,0.00101523174253786,-1.74034659601968,NS
PPP3R1,-0.214185365853677,11.1811965973535,-3.44080511342482,0.000625932029614082,0.00120634172980169,-1.90963543793375,NS
VAV1,-0.626391815718163,7.24630056710775,-3.43749157675867,0.000633483324197705,0.00120989607864787,-1.92079812817302,NS
HSPA1A,0.674855284552843,14.353988657845,3.36434159517292,0.000823059217440771,0.00155793351872717,-2.16425869924916,NS
BID,0.334334254742554,10.7654253308129,3.3321403079568,0.000922204797166588,0.00173015413273732,-2.26982844342981,NS
PIK3CA,-0.242530840108381,9.68287334593573,-3.31816392176259,0.000968607959184443,0.00180127094164125,-2.31535236624938,NS
TNFSF10,-0.599194579945797,11.5155141776938,-3.25468173062866,0.0012079828003724,0.00222689003199087,-2.51982777755942,NS
PLCB4,0.733005853658535,4.8081550094518,3.24921949852012,0.00123095167584952,0.00224967030413878,-2.53724320125346,NS
CXCL1,-1.3639854200542,6.05992381852552,-3.24255152257574,0.00125953889145892,0.00228224141016489,-2.55846484565626,Down
PIK3R2,1.18031105691057,1.77772608695652,3.23861711491251,0.00127669374813128,0.00229372097121891,-2.57096692649313,Up
JAK2,-0.408502981029798,7.9308336483932,-3.21157052719363,0.00140059558289345,0.00249517868549086,-2.65651227825405,NS
CXCL8,-1.23437311653117,7.59352930056711,-3.15508433316852,0.00169602619980115,0.00299631295298204,-2.8329572447312,Down
TIRAP,0.278359078590782,8.29778449905482,3.13264905847017,0.00182852567436276,0.00320369787574302,-2.90218954501309,NS
CASP1,-0.475946991869916,8.63046502835539,-3.09291696016206,0.002086912479811,0.00362643807967157,-3.02365819486329,NS
CALM2,0.209137127371243,13.4595085066163,3.05151921765392,0.00239144480993118,0.00412183983500334,-3.14860805754034,NS
PPARG,0.436921626016266,9.21841020793951,3.01985486797813,0.00265141582638966,0.00453306576769846,-3.24309916133246,NS
RAP1B,-0.180613550135535,11.780415879017,-3.00447621897243,0.00278674877737945,0.00472632592643555,-3.28863464759742,NS
TLR6,-0.504949539295391,5.94463327032136,-2.96640588161203,0.00314957113343422,0.00529927841498455,-3.40042251473599,NS
PIK3CB,0.222143956639586,10.0472646502836,2.94776409241703,0.00334248176156932,0.00557957585395824,-3.45464632506128,NS
CXCL3,-0.797886775067751,4.21848487712665,-2.91603933458575,0.00369586440322614,0.00612127541784329,-3.54618577603927,NS
HSPA1L,0.356669701897021,6.03648771266541,2.87569757546385,0.00419425565151965,0.00689288525676098,-3.66119027629528,NS
IRF7,-0.448301788617876,10.5635141776938,-2.86029606246886,0.00440016212746863,0.00717564900787191,-3.70469106403386,NS
CD40,-0.48800932249322,9.25977882797732,-2.83026030768656,0.00482830741695981,0.00781374940759908,-3.78886783969508,NS
FASLG,-0.621559891598914,4.07025860113422,-2.79538130704451,0.00537269621377488,0.0086288757372748,-3.88553617026215,NS
AKT2,-0.204279132791319,12.4589981096408,-2.768733965727,0.00582536067551555,0.00928553731736313,-3.95860002111715,NS
AKT3,-0.468896151761514,8.26653686200378,-2.7082428186395,0.00698363929327703,0.011048742762498,-4.12195472030184,NS
ATF6,0.243512737127343,11.5745274102079,2.67972345681555,0.00759843970161072,0.0119323645684554,-4.19774534925712,NS
TICAM2,0.420310298102982,7.25877221172023,2.65508186889197,0.00816850791989797,0.0127332623457233,-4.26261144883923,NS
ERN1,-0.30595669376693,10.8377844990548,-2.59784938135196,0.00964299077773771,0.0149220003275941,-4.41100239571055,NS
PYCARD,0.544171219512192,8.56846691871456,2.57350562379294,0.0103393210747099,0.0158318051016456,-4.47316926718062,NS
RELA,0.128918157181536,11.6810775047259,2.57211665681883,0.010380287307211,0.0158318051016456,-4.4766946870726,NS
NOS3,-0.413456368563677,8.430797731569,-2.53355394641648,0.0115796163189947,0.0175348475687634,-4.57395195784777,NS
IL18,-0.522174092140919,7.1013629489603,-2.47596385788521,0.0136004028350718,0.0204488326314555,-4.71652070437603,NS
CCL3L3,-0.587304065040647,5.34476805293006,-2.41334287429149,0.016146688412423,0.0241063235453075,-4.86790827178288,NS
HSPA1B,0.584614634146343,13.0435103969754,2.40819980555568,0.0163733928370603,0.0242738411290684,-4.8801732373025,NS
ROCK2,0.21104764227643,10.8322665406427,2.37241520039312,0.0180297546183831,0.0265438054103973,-4.96479915302873,NS
PPP3CB,0.135310243902472,10.1261361058601,2.2545849859382,0.0245685495265102,0.0359209137904838,-5.23468954062764,NS
HSPA2,0.36474704607046,8.18799810964083,2.21673132335352,0.0270671035870258,0.0393029175373251,-5.31853439446783,NS
MAPK1,0.181324119241195,11.7766994328922,2.19570686187415,0.0285474398872595,0.0411704575244831,-5.36449805397834,NS
TNFRSF10A,-0.306094959349585,7.77155198487713,-2.17024478902818,0.0304337120251135,0.0435942361440815,-5.41959147834029,NS
EIF2AK3,-0.222353008130073,9.5130831758034,-2.16056040449199,0.0311786408073425,0.044361556048031,-5.44037788309041,NS
KRAS,-0.211695338753378,10.0356502835539,-2.15684306982831,0.0314687721625724,0.0444758646564357,-5.4483331302227,NS
HSPD1,0.190611382113811,14.6086389413989,2.04945186735377,0.0409117295271043,0.0574389845016299,-5.67233879234372,NS
PPP3R2,0.242141398373984,0.402890548204159,2.0310512409404,0.0427505282955816,0.0596257368333112,-5.70959139492168,NS
MAPK13,0.557553116531169,8.35650661625709,1.96620787889484,0.0497984701498959,0.0690018017763263,-5.83823038548816,NS
