category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,7/30,226/9422,0.0309734513274336,9.72772861356932,7.50561112106079,5.2950772636229e-06,6.01247482837181e-05,6.01247482837181e-05,163688/51806/816/2353/810/815/5602,7
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,6/30,154/9422,0.038961038961039,12.2363636363636,7.94553638496565,7.42522931109165e-06,8.16775224220082e-05,8.16775224220082e-05,163688/51806/816/5330/810/815,6
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/30,163/9422,0.0368098159509202,11.560736196319,7.68663115232434,1.02918775195055e-05,0.000107552352127128,0.000107552352127128,2353/3551/6774/3665/7097/5602,6
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,5/30,94/9422,0.0531914893617021,16.7056737588653,8.64880922092302,1.03885794668249e-05,0.000107552352127128,0.000107552352127128,2921/2353/3551/2920/5602,5
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,5/30,103/9422,0.0485436893203884,15.2459546925566,8.21590866410549,1.62401554483385e-05,0.000162054557371834,0.000162054557371834,2353/3551/5330/7097/5602,5
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,7/30,269/9422,0.0260223048327138,8.1727385377943,6.74542777043045,1.65737615493921e-05,0.000162054557371834,0.000162054557371834,163688/51806/816/810/4217/815/5602,7
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,5/30,105/9422,0.0476190476190476,14.9555555555556,8.12706660592904,1.78340122876748e-05,0.00016966411689896,0.00016966411689896,163688/51806/3551/810/5602,5
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,6/30,187/9422,0.0320855614973262,10.0770053475936,7.08557390094796,2.25262196254075e-05,0.000208663929161669,0.000208663929161669,2921/3551/5330/2920/3665/5602,6
Organismal Systems,Endocrine system,hsa04924,Renin secretion,4/30,69/9422,0.0579710144927536,18.2067632850242,8.10733931078051,6.25327065405845e-05,0.000548003577743519,0.000548003577743519,163688/51806/5330/810,4
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,5/30,138/9422,0.036231884057971,11.3792270531401,6.94171976206617,6.6528965959955e-05,0.000548003577743519,0.000548003577743519,163688/51806/816/810/815,5
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,5/30,138/9422,0.036231884057971,11.3792270531401,6.94171976206617,6.6528965959955e-05,0.000548003577743519,0.000548003577743519,2353/3551/8795/4217/5602,5
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,5/30,138/9422,0.036231884057971,11.3792270531401,6.94171976206617,6.6528965959955e-05,0.000548003577743519,0.000548003577743519,163688/51806/3551/810/5602,5
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,6/30,227/9422,0.026431718061674,8.30132158590308,6.29315786774835,6.69436188720776e-05,0.000548003577743519,0.000548003577743519,163688/51806/3551/5330/6774/810,6
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,4/30,71/9422,0.0563380281690141,17.693896713615,7.97972556083438,6.9972148476541e-05,0.000559777187812328,0.000559777187812328,2921/3551/2920/5602,4
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,6/30,239/9422,0.0251046025104603,7.88451882845188,6.09270762233041,8.91030419131338e-05,0.000696983794520513,0.000696983794520513,2353/3551/6774/6403/7097/5602,6
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,8/30,481/9422,0.0166320166320166,5.22356202356202,5.37388606293743,9.40090711191601e-05,0.000719373761607486,0.000719373761607486,163688/51806/816/5330/810/4217/815/5602,8
Organismal Systems,Sensory system,hsa04744,Phototransduction,3/30,29/9422,0.103448275862069,32.4896551724138,9.59831127347168,0.000100663213908328,0.000753903219058119,0.000753903219058119,163688/51806/810,3
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,6/30,254/9422,0.0236220472440945,7.41889763779528,5.86097802896389,0.000124664396775754,0.000914205576355532,0.000914205576355532,163688/51806/816/5330/810/815,6
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,5/30,168/9422,0.0297619047619048,9.34722222222222,6.16967029567993,0.000168630223994828,0.00121138446624856,0.00121138446624856,816/8795/6774/815/5602,5
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,7/30,389/9422,0.0179948586118252,5.6515852613539,5.29529145235603,0.000172903025611558,0.00121723730030537,0.00121723730030537,163688/51806/3551/5330/810/4217/5602,7
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,4/30,90/9422,0.0444444444444444,13.9585185185185,6.98102720832604,0.000176445313346897,0.00121781863329623,0.00121781863329623,2353/3551/6774/7097,4
Organismal Systems,Digestive system,hsa04970,Salivary secretion,4/30,93/9422,0.0430107526881721,13.5082437275986,6.85094293510461,0.00020028638833528,0.00135578478257728,0.00135578478257728,163688/51806/5330/810,4
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,4/30,95/9422,0.0421052631578947,13.2238596491228,6.76751545716837,0.000217420131979646,0.00144399785767614,0.00144399785767614,2921/2353/2920/7097,4
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,4/30,98/9422,0.0408163265306122,12.8190476190476,6.64698157830754,0.000245070697602702,0.00159749788066946,0.00159749788066946,163688/51806/5330/810,4
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,4/30,101/9422,0.0396039603960396,12.4382838283828,6.53161216291049,0.000275171019154219,0.001761094522587,0.001761094522587,6401/5330/6774/5602,4
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,4/30,103/9422,0.0388349514563107,12.1967637540453,6.45738318856706,0.000296660512796127,0.00186472322328994,0.00186472322328994,2921/5330/2920/7097,4
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,6/30,301/9422,0.0199335548172757,6.26046511627907,5.24223218219693,0.000314069240602319,0.00191922114388689,0.00191922114388689,3310/2353/3551/4217/3304/5602,6
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,4/30,105/9422,0.0380952380952381,11.9644444444444,6.38518258497673,0.00031933165674079,0.00191922114388689,0.00191922114388689,2921/3929/3551/2920,4
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,5/30,193/9422,0.0259067357512953,8.13644214162349,5.66126087481525,0.000321687634912859,0.00191922114388689,0.00191922114388689,2921/3551/5330/6774/2920,5
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,4/30,109/9422,0.036697247706422,11.5253822629969,6.24649522592072,0.000368369696967558,0.00216110222220967,0.00216110222220967,2353/3551/6774/5602,4
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,5/30,205/9422,0.024390243902439,7.66016260162602,5.44875218623621,0.000424776024442115,0.00245116656727253,0.00245116656727253,3551/6774/3665/7097/5602,5
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,4/30,115/9422,0.0347826086956522,10.9240579710145,6.05150564921731,0.000451737952351019,0.00256470579399288,0.00256470579399288,816/2353/5330/815,4
